Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2021-01-04,300.89825439453125,306.71563786499405,296.8805657660098,306.5405104360072,45305900
2021-01-05,303.37890625,303.6513201081233,299.9060154983521,299.9060154983521,29323400
2021-01-06,299.1764221191406,303.3983917500956,297.65884887622224,298.651099169623,52809600
2021-01-07,306.41412353515625,307.2507215685582,301.81274528848934,301.8419282504068,30394800
2021-01-08,310.3539733886719,310.7041986210898,306.5113818202408,308.70993058788866,33955800
2021-01-11,305.86932373046875,308.56398256314316,305.2175313976675,307.3868969697369,32746400
2021-01-12,305.3828430175781,306.99767258092635,302.73681323209325,305.9081361435458,29266800
2021-01-13,307.44525146484375,308.2429288749718,305.0424223106685,305.64555656442417,22898400
2021-01-14,305.8011779785156,308.89468994713553,305.3244834651653,307.89270224581605,23500100
2021-01-15,303.37890625,306.5502595608286,302.1337172295918,305.58719225944236,35118700
2021-01-19,307.8051452636719,308.31099303092424,304.60460941977414,305.70388350427555,24537000
2021-01-20,314.9650573730469,315.9086793902122,307.9025134128911,311.4338002367949,30728100
2021-01-21,317.4845886230469,318.23366738601857,314.92613670825057,316.3075030224973,25130600
2021-01-22,316.5701599121094,317.5818555572342,315.87944710973034,316.44369053455694,21609400
2021-01-25,319.18695068359375,321.3368705454963,312.66917670362466,319.9652122923067,39080600
2021-01-26,319.654052734375,320.7922478653806,318.3213143786249,319.90699158296695,25498100
2021-01-27,310.7430419921875,317.39702351548453,308.7293288543397,317.38731565471386,55264000
2021-01-28,312.5816955566406,317.5430067692897,311.32676885098,311.94937827283223,42836300
2021-01-29,306.0054931640625,311.9979746402397,304.2544562981174,310.8889628541991,55259000
2021-02-01,313.6517333984375,314.74127001301986,307.4257589934307,309.4589174416506,35646000
2021-02-02,318.7687072753906,319.9263474987196,316.4631643779262,316.62855427596605,33930800
2021-02-03,317.5041198730469,321.220242323073,317.4457539445254,320.85057165066723,24824500
2021-02-04,321.259033203125,321.3465820686699,317.5818324120153,318.90486231808734,22350900
2021-02-05,322.3486633300781,323.3603888827327,320.5684431720649,322.21248606225845,22732000
2021-02-08,324.5081787109375,324.66383102542954,322.39720913735937,324.0412514551048,20462800
2021-02-09,324.4402160644531,325.7048507323251,323.56466778460714,323.5744053349865,17597500
2021-02-10,323.7008361816406,326.3371291945749,320.53922020090334,325.87990969600844,28068700
2021-02-11,325.4811096191406,325.8897008140727,323.08801744212394,325.23790834987636,22046100
2021-02-12,327.3002624511719,327.465622680293,323.5841401316017,324.63475649576094,20346800
2021-02-16,326.4150695800781,328.9929974577664,325.24769144906577,328.09800359896906,27080800
2021-02-17,324.8487548828125,326.53171816005226,321.19102840150435,323.42846794625643,31360300
2021-02-18,323.428466796875,324.7903878056951,319.4302229667962,321.24939318276284,32236200
2021-02-19,322.01788330078125,324.90711518475683,320.9964499801201,324.78064579145286,39157700
2021-02-22,313.67120361328125,318.88542344904647,313.46692290380315,317.62078899731716,47256900
2021-02-23,312.7372741699219,314.4104994870459,302.54226994841684,308.3790983075503,97241900
2021-02-24,315.31524658203125,315.6265512647945,307.36741774873343,310.0718140939859,58206300
2021-02-25,304.322509765625,315.21793530201944,302.77575371014933,312.649746090852,110182600
2021-02-26,305.596923828125,310.4317353375427,302.4255705793529,307.260411776418,104739800
2021-03-01,314.78997802734375,315.13046572746435,309.29363551163823,310.5874531469121,49164500
2021-03-02,309.7411193847656,315.5098461578481,309.4882102614915,315.4320348170685,48370000
2021-03-03,300.7523498535156,309.58540479561566,300.69398393774776,308.64178290717086,86301100
2021-03-04,295.82989501953125,303.55396618543733,291.9483843438154,300.3826135798106,139131600
2021-03-05,300.28546142578125,301.19016301446794,289.3608795063983,298.4565831469385,121523700
2021-03-08,291.7830810546875,301.6278611157539,291.3647821057338,299.74061738367544,88409800
2021-03-09,303.2913513183594,305.19807016125134,298.5732716405379,299.1083024222555,80391100
2021-03-10,302.4255676269531,307.8635430160632,301.7348845163001,307.5619758964409,76798100
2021-03-11,309.3907775878906,311.16125936461634,306.28752859613826,307.1824921865464,53484800
2021-03-12,306.8810729980469,309.57576198873176,302.9217790040987,305.324578979311,69315600
2021-03-15,310.1593933105469,310.3247832168341,305.5580448353597,307.2020875979469,42955700
2021-03-16,311.8617858886719,315.38336461069946,310.422053617797,312.3579258942571,54925900
2021-03-17,313.1459045410156,315.0428860508481,307.0950566210568,308.8169403665619,78258700
2021-03-18,303.5541076660156,309.23528581168915,303.0968880876104,308.2527431737501,82718100
2021-03-19,304.62408447265625,306.1708404159636,301.2387133572619,303.38860347734567,78446200
2021-03-22,310.3367919921875,312.41148805524506,307.0250841137803,307.0250841137803,56194800
2021-03-23,308.98291015625,312.75241507081284,308.16472557771374,311.42774376989036,53455400
2021-03-24,303.7718200683594,310.39526564194466,303.62572098974465,310.35629597926635,64803700
2021-03-25,303.24591064453125,304.765430623311,299.408245063038,301.92123902860885,78729000
2021-03-26,307.79461669921875,308.11603470721366,301.62899710832727,303.0315781410878,63519600
2021-03-29,307.70697021484375,308.7589134650487,304.3562921213797,307.25892306430717,54608000
2021-03-30,306.1582336425781,306.73290987207395,303.45042155309784,305.7394063486457,44635700
2021-03-31,310.8432922363281,312.4114717853358,307.6094941254678,307.9504117698603,55032500
2021-04-01,316.14208984375,316.27843908944794,314.42778121111564,314.6810394568856,55685600
2021-04-05,322.45379638671875,323.2232912179565,318.39209310978487,318.63560149845483,42172500
2021-04-06,322.2298278808594,324.18761535683717,321.45058310484313,322.14216841702296,33537200
2021-04-07,323.00897216796875,323.84665640302546,320.81739687673485,321.75246067795484,32046400
